date,daily_sales,organic_traffic,competitor_sales
2024-01-01,1250,450,980
2024-01-02,1180,420,950
2024-01-03,1320,480,1020
2024-01-04,1290,465,1000
2024-01-05,1410,510,1050
2024-01-06,1380,505,1040
2024-01-07,1200,430,970
2024-01-08,1260,455,990
2024-01-09,1310,475,1010
2024-01-10,1340,490,1025
2024-01-11,1370,500,1035
2024-01-12,1420,520,1060
2024-01-13,1390,515,1045
2024-01-14,1210,435,975
2024-01-15,1270,460,995
2024-01-16,1330,485,1015
2024-01-17,1350,495,1030
2024-01-18,1400,515,1055
2024-01-19,1430,525,1065
2024-01-20,1395,512,1048
2024-01-21,1225,440,980
2024-01-22,1280,465,1000
2024-01-23,1345,490,1022
2024-01-24,1365,500,1038
2024-01-25,1415,520,1058
2024-01-26,1440,530,1070
2024-01-27,1405,518,1052
2024-01-28,1235,445,985
2024-01-29,1295,472,1005
2024-01-30,1355,495,1028
2024-01-31,1375,505,1042
2024-02-01,1425,525,1062
2024-02-02,1450,535,1075
2024-02-03,1410,520,1055
2024-02-04,1240,450,990
2024-02-05,1300,475,1008
2024-02-06,1360,498,1032
2024-02-07,1385,508,1045
2024-02-08,1435,528,1068
2024-02-09,1460,538,1080
2024-02-10,1420,522,1058
2024-02-11,1250,455,995
2024-02-12,1310,480,1012
2024-02-13,1370,502,1035
2024-02-14,1395,512,1048
2024-02-15,1445,532,1072
2024-02-16,1470,542,1085
2024-02-17,1430,525,1062
2024-02-18,1260,460,1000
2024-02-19,1320,485,1015
2024-02-20,1380,505,1038
2024-02-21,1405,515,1052
2024-02-22,1455,535,1075
2024-02-23,1480,545,1090
2024-02-24,1440,530,1065
2024-02-25,1270,465,1005
2024-02-26,1330,490,1020
2024-02-27,1390,510,1042
2024-02-28,1415,520,1055
2024-02-29,1465,540,1078
2024-03-01,1490,550,1095
2024-03-02,1450,535,1068
2024-03-03,1280,470,1010
2024-03-04,1340,495,1025
2024-03-05,1400,515,1045
2024-03-06,1425,525,1058
2024-03-07,1475,545,1082
2024-03-08,1500,555,1100
2024-03-09,1460,540,1072
2024-03-10,1290,475,1015
2024-03-11,1350,500,1030
2024-03-12,1410,520,1050
2024-03-13,1435,530,1062
2024-03-14,1485,550,1088
2024-03-15,1510,560,1105
2024-03-16,1470,545,1075
2024-03-17,1300,480,1020
2024-03-18,1360,505,1035
2024-03-19,1420,525,1055
2024-03-20,1445,535,1068
2024-03-21,1495,555,1092
2024-03-22,1520,565,1110
2024-03-23,1480,550,1080
2024-03-24,1310,485,1025
2024-03-25,1370,510,1040
2024-03-26,1430,530,1060
2024-03-27,1455,540,1072
2024-03-28,1505,560,1095
2024-03-29,1530,570,1115
2024-03-30,1490,555,1085
2024-03-31,1320,490,1030
2024-04-01,1380,515,1045
2024-04-02,1440,535,1065
2024-04-03,1465,545,1078
2024-04-04,1515,565,1100
2024-04-05,1540,575,1120
2024-04-06,1500,560,1090
2024-04-07,1330,495,1035
2024-04-08,1390,520,1050
2024-04-09,1450,540,1070
2024-04-10,1475,550,1082
2024-04-11,1525,570,1105
2024-04-12,1550,580,1125
2024-04-13,1510,565,1095
2024-04-14,1340,500,1040
2024-04-15,1400,525,1055
2024-04-16,1460,545,1075
2024-04-17,1485,555,1088
2024-04-18,1535,575,1110
2024-04-19,1560,585,1130
2024-04-20,1520,570,1100
2024-04-21,1350,505,1045
2024-04-22,1410,530,1060
2024-04-23,1470,550,1080
2024-04-24,1495,560,1092
2024-04-25,1545,580,1115
2024-04-26,1570,590,1135
2024-04-27,1530,575,1105
2024-04-28,1360,510,1050
2024-04-29,1420,535,1065
2024-04-30,1480,555,1085
2024-05-01,1505,565,1098
2024-05-02,1555,585,1120
2024-05-03,1580,595,1140
2024-05-04,1540,580,1110
2024-05-05,1370,515,1055
2024-05-06,1430,540,1070
2024-05-07,1490,560,1090
2024-05-08,1515,570,1102
2024-05-09,1565,590,1125
2024-05-10,1590,600,1145
2024-05-11,1550,585,1115
2024-05-12,1380,520,1060
2024-05-13,1440,545,1075
2024-05-14,1500,565,1095
2024-05-15,1525,575,1108
2024-05-16,1575,595,1130
2024-05-17,1600,605,1150
2024-05-18,1560,590,1120
2024-05-19,1390,525,1065
2024-05-20,1450,550,1080
2024-05-21,1510,570,1100
2024-05-22,1535,580,1112
2024-05-23,1585,600,1135
2024-05-24,1610,610,1155
2024-05-25,1570,595,1125
2024-05-26,1400,530,1070
2024-05-27,1460,555,1085
2024-05-28,1520,575,1105
2024-05-29,1545,585,1118
2024-05-30,1595,605,1140
2024-05-31,1620,615,1160
2024-06-01,1580,600,1130
2024-06-02,1410,535,1075
2024-06-03,1470,560,1090
2024-06-04,1530,580,1110
2024-06-05,1555,590,1122
2024-06-06,1605,610,1145
2024-06-07,1630,620,1165
2024-06-08,1590,605,1135
2024-06-09,1420,540,1080
2024-06-10,1480,565,1095
2024-06-11,1540,585,1115
2024-06-12,1565,595,1128
2024-06-13,1615,615,1150
2024-06-14,1640,625,1170
2024-06-15,1600,610,1140
2024-06-16,1430,545,1085
2024-06-17,1490,570,1100
2024-06-18,1550,590,1120
2024-06-19,1575,600,1132
2024-06-20,1625,620,1155
2024-06-21,1650,630,1175
2024-06-22,1610,615,1145
2024-06-23,1440,550,1090
2024-06-24,1500,575,1105
2024-06-25,1560,595,1125
2024-06-26,1585,605,1138
2024-06-27,1635,625,1160
2024-06-28,1660,635,1180
2024-06-29,1620,620,1150
2024-06-30,1450,555,1095
2024-07-01,1720,620,1105
2024-07-02,1810,625,1110
2024-07-03,1890,630,1115
2024-07-04,1650,555,1100
2024-07-05,1750,625,1108
2024-07-06,1840,632,1112
2024-07-07,1770,627,1110
2024-07-08,1860,635,1115
2024-07-09,1920,640,1118
2024-07-10,1950,645,1120
2024-07-11,1980,650,1125
2024-07-12,2010,655,1128
2024-07-13,2040,660,1130
2024-07-14,1870,638,1118
2024-07-15,1960,648,1122
2024-07-16,2030,658,1127
2024-07-17,2060,663,1132
2024-07-18,2090,668,1135
2024-07-19,2120,673,1138
2024-07-20,2150,678,1142
2024-07-21,1980,655,1128
2024-07-22,2070,665,1133
2024-07-23,2140,675,1140
2024-07-24,2170,680,1145
2024-07-25,2200,685,1148
2024-07-26,2230,690,1152
2024-07-27,2260,695,1155
2024-07-28,2090,672,1142
2024-07-29,2180,682,1147
2024-07-30,2250,692,1153
2024-07-31,2280,697,1158
2024-08-01,2310,702,1162
2024-08-02,2340,707,1165
2024-08-03,2370,712,1170
2024-08-04,2200,688,1155
2024-08-05,2290,698,1160
2024-08-06,2360,708,1167
2024-08-07,2390,713,1172
2024-08-08,2420,718,1175
2024-08-09,2450,723,1180
2024-08-10,2480,728,1183
2024-08-11,2310,705,1168
2024-08-12,2400,715,1173
2024-08-13,2470,725,1180
2024-08-14,2500,730,1185
2024-08-15,2530,735,1188
2024-08-16,2560,740,1192
2024-08-17,2590,745,1195
2024-08-18,2420,722,1180
2024-08-19,2510,732,1185
2024-08-20,2580,742,1192
2024-08-21,2610,747,1197
2024-08-22,2640,752,1200
2024-08-23,2670,757,1205
2024-08-24,2700,762,1208
2024-08-25,2530,738,1193
2024-08-26,2620,748,1198
2024-08-27,2690,758,1205
2024-08-28,2720,763,1210
2024-08-29,2750,768,1213
2024-08-30,2780,773,1217
2024-08-31,2810,778,1220
2024-09-01,2640,755,1205
2024-09-02,2730,765,1210
2024-09-03,2800,775,1217
2024-09-04,2830,780,1222
2024-09-05,2860,785,1225
2024-09-06,2890,790,1230
2024-09-07,2920,795,1233
2024-09-08,2750,772,1218
2024-09-09,2840,782,1223
2024-09-10,2910,792,1230
2024-09-11,2940,797,1235
2024-09-12,2970,802,1238
2024-09-13,3000,807,1242
2024-09-14,3030,812,1245
2024-09-15,2860,788,1230
2024-09-16,2950,798,1235
2024-09-17,3020,808,1242
2024-09-18,3050,813,1247
2024-09-19,3080,818,1250
2024-09-20,3110,823,1255
2024-09-21,3140,828,1258
2024-09-22,2970,805,1243
2024-09-23,3060,815,1248
2024-09-24,3130,825,1255
2024-09-25,3160,830,1260
2024-09-26,3190,835,1263
2024-09-27,3220,840,1267
2024-09-28,3250,845,1270
2024-09-29,3080,822,1255
2024-09-30,3170,832,1262
