date,daily_sales,organic_traffic,competitor_sales
2024-01-01,1836,464,950
2024-01-02,1799,445,1023
2024-01-03,1842,469,1009
2024-01-04,1831,495,969
2024-01-05,1880,442,1003
2024-01-06,1728,442,980
2024-01-07,1767,497,1005
2024-01-08,1825,473,1033
2024-01-09,1817,435,1079
2024-01-10,1792,466,938
2024-01-11,1869,436,1106
2024-01-12,1767,436,902
2024-01-13,1740,457,992
2024-01-14,1808,392,1029
2024-01-15,1846,398,1014
2024-01-16,1790,433,968
2024-01-17,1866,419,989
2024-01-18,1801,459,975
2024-01-19,1700,422,970
2024-01-20,1666,407,1042
2024-01-21,1658,493,1017
2024-01-22,1793,443,965
2024-01-23,1840,452,1044
2024-01-24,1892,407,1015
2024-01-25,1845,433,1040
2024-01-26,1825,453,1031
2024-01-27,1736,415,958
2024-01-28,1611,461,971
2024-01-29,1838,431,1037
2024-01-30,1868,441,1030
2024-01-31,1741,431,998
2024-02-01,1911,505,1005
2024-02-02,1860,449,1063
2024-02-03,1679,418,970
2024-02-04,1777,474,1027
2024-02-05,1917,413,989
2024-02-06,1833,456,989
2024-02-07,1824,391,1054
2024-02-08,1794,410,1041
2024-02-09,1797,455,1040
2024-02-10,1797,472,1065
2024-02-11,1685,455,1001
2024-02-12,1837,446,1034
2024-02-13,1791,440,984
2024-02-14,1831,405,1016
2024-02-15,1828,428,993
2024-02-16,1871,436,1004
2024-02-17,1724,481,1029
2024-02-18,1704,460,959
2024-02-19,1781,397,1104
2024-02-20,1792,459,949
2024-02-21,1819,438,939
2024-02-22,1870,429,1057
2024-02-23,1799,468,1039
2024-02-24,1793,480,1031
2024-02-25,1816,477,1031
2024-02-26,1832,424,999
2024-02-27,1900,440,955
2024-02-28,1792,459,1003
2024-02-29,1767,479,966
2024-03-01,1743,435,1048
2024-03-02,1794,444,992
2024-03-03,1728,416,958
2024-03-04,1799,414,983
2024-03-05,1857,474,1020
2024-03-06,1780,490,971
2024-03-07,1933,447,958
2024-03-08,1850,480,1012
2024-03-09,1739,460,1012
2024-03-10,1744,430,974
2024-03-11,1847,460,976
2024-03-12,1862,496,1011
2024-03-13,1763,448,927
2024-03-14,1850,496,929
2024-03-15,1869,371,964
2024-03-16,1801,474,989
2024-03-17,1810,452,1015
2024-03-18,1817,441,1073
2024-03-19,1789,452,1042
2024-03-20,1786,390,992
2024-03-21,1824,443,999
2024-03-22,1870,460,949
2024-03-23,1662,494,999
2024-03-24,1789,434,985
2024-03-25,1809,425,1016
2024-03-26,1783,434,958
2024-03-27,1795,477,1025
2024-03-28,1770,459,1076
2024-03-29,1856,434,994
2024-03-30,1742,465,1020
2024-03-31,1672,452,1034
2024-04-01,1768,479,979
2024-04-02,1801,428,1011
2024-04-03,1903,440,1000
2024-04-04,1807,438,1004
2024-04-05,1716,406,961
2024-04-06,1717,458,1001
2024-04-07,1722,457,1024
2024-04-08,1711,450,1072
2024-04-09,1833,442,1047
2024-04-10,1824,407,1107
2024-04-11,1841,437,961
2024-04-12,1925,439,1043
2024-04-13,1772,425,1009
2024-04-14,1741,445,1109
2024-04-15,1763,462,959
2024-04-16,1969,506,958
2024-04-17,1821,455,970
2024-04-18,1797,457,893
2024-04-19,1814,447,973
2024-04-20,1694,392,962
2024-04-21,1719,449,1007
2024-04-22,1802,451,1017
2024-04-23,1862,523,1093
2024-04-24,1834,444,1047
2024-04-25,1793,459,971
2024-04-26,1775,448,955
2024-04-27,1720,414,1024
2024-04-28,1709,484,933
2024-04-29,1938,472,1091
2024-04-30,1722,473,1058
2024-05-01,1858,422,976
2024-05-02,1882,492,914
2024-05-03,1720,407,1067
2024-05-04,1714,467,994
2024-05-05,1757,515,1061
2024-05-06,1715,420,920
2024-05-07,1768,433,970
2024-05-08,1771,452,1000
2024-05-09,1905,434,1002
2024-05-10,1841,403,977
2024-05-11,1798,452,1031
2024-05-12,1729,418,946
2024-05-13,1773,464,992
2024-05-14,1786,422,1006
2024-05-15,1880,496,1025
2024-05-16,1762,426,1035
2024-05-17,1838,440,943
2024-05-18,1702,474,923
2024-05-19,1706,413,1063
2024-05-20,1868,456,1016
2024-05-21,1855,489,962
2024-05-22,1806,401,1077
2024-05-23,1887,455,1005
2024-05-24,1792,457,1058
2024-05-25,1768,473,1003
2024-05-26,1767,412,1103
2024-05-27,1816,410,1087
2024-05-28,1845,465,987
2024-05-29,1781,458,1048
2024-05-30,1884,457,1032
2024-05-31,1841,460,1068
2024-06-01,1674,429,951
2024-06-02,1791,456,1034
2024-06-03,1810,458,1052
2024-06-04,1717,428,912
2024-06-05,1757,505,940
2024-06-06,1831,464,898
2024-06-07,1739,414,986
2024-06-08,1833,469,1035
2024-06-09,1628,420,1075
2024-06-10,1922,473,1003
2024-06-11,1877,484,1081
2024-06-12,1787,425,930
2024-06-13,1786,478,914
2024-06-14,1850,462,997
2024-06-15,1741,474,1019
2024-06-16,1808,506,998
2024-06-17,1796,442,896
2024-06-18,1819,427,995
2024-06-19,1773,423,934
2024-06-20,1819,425,1033
2024-06-21,1844,447,1018
2024-06-22,1630,460,953
2024-06-23,1654,458,974
2024-06-24,1858,474,947
2024-06-25,1832,450,996
2024-06-26,1851,493,1047
2024-06-27,1807,442,950
2024-06-28,1890,531,1025
2024-06-29,1699,468,973
2024-06-30,1682,424,960
2024-07-01,1837,417,994
2024-07-02,1788,464,948
2024-07-03,1854,443,972
2024-07-04,1753,471,940
2024-07-05,1933,464,1098
2024-07-06,1768,447,1001
2024-07-07,1750,424,965
2024-07-08,1890,404,1010
2024-07-09,1935,436,994
2024-07-10,1920,475,988
2024-07-11,1780,456,1030
2024-07-12,1789,412,1037
2024-07-13,1723,455,973
2024-07-14,1767,461,971
2024-07-15,1877,423,986
2024-07-16,1800,454,884
2024-07-17,1856,451,924
2024-07-18,1835,415,1068
2024-07-19,1868,460,1082
2024-07-20,1703,466,987
2024-07-21,1735,482,1028
2024-07-22,1809,481,1015
2024-07-23,1833,408,1153
2024-07-24,1912,421,1055
2024-07-25,1815,465,993
2024-07-26,1981,465,952
2024-07-27,1764,465,919
2024-07-28,1826,565,1010
2024-07-29,1810,467,962
2024-07-30,1887,484,928
2024-07-31,1832,478,967
2024-08-01,1856,469,945
2024-08-02,2005,440,1084
2024-08-03,1776,472,1044
2024-08-04,1802,426,999
2024-08-05,1840,442,1073
2024-08-06,1848,435,1003
2024-08-07,1933,452,956
2024-08-08,1882,519,1076
2024-08-09,1927,393,1026
2024-08-10,1786,470,948
2024-08-11,1701,401,990
2024-08-12,1868,435,956
2024-08-13,1900,482,930
2024-08-14,1902,451,1046
2024-08-15,1790,417,1095
2024-08-16,1788,428,930
2024-08-17,1762,470,1028
2024-08-18,1732,428,967
2024-08-19,1883,456,975
2024-08-20,1857,451,970
2024-08-21,1767,430,956
2024-08-22,1908,514,1002
2024-08-23,1884,469,958
2024-08-24,1758,389,1013
2024-08-25,1812,455,997
2024-08-26,1884,430,988
2024-08-27,1878,475,954
2024-08-28,1832,426,971
2024-08-29,1783,446,1037
2024-08-30,1893,465,1025
2024-08-31,1765,475,951
2024-09-01,1753,413,1004
2024-09-02,1799,439,1037
2024-09-03,1770,435,916
2024-09-04,1907,430,1027
2024-09-05,1871,502,966
2024-09-06,1905,462,1028
2024-09-07,1727,412,961
2024-09-08,1744,477,909
2024-09-09,1911,513,918
2024-09-10,1847,480,1002
2024-09-11,1842,404,1012
2024-09-12,1812,435,954
2024-09-13,1863,488,1031
2024-09-14,1705,428,916
2024-09-15,1773,463,996
2024-09-16,1826,473,939
2024-09-17,1895,422,967
2024-09-18,1811,448,1002
2024-09-19,1785,352,956
2024-09-20,1813,419,980
2024-09-21,1840,442,1050
2024-09-22,1739,412,971
2024-09-23,1945,498,1041
2024-09-24,1743,407,943
2024-09-25,1871,436,1026
2024-09-26,1924,453,1072
2024-09-27,1845,493,876
2024-09-28,1776,406,960
2024-09-29,1756,484,1028
2024-09-30,1924,450,989
