date,daily_sales,organic_traffic,competitor_sales,daily_spend
2024-01-01,1836,464,950,0
2024-01-02,1799,445,1023,0
2024-01-03,1842,469,1009,0
2024-01-04,1831,495,969,0
2024-01-05,1880,442,1003,0
2024-01-06,1728,442,980,0
2024-01-07,1767,497,1005,0
2024-01-08,1825,473,1033,0
2024-01-09,1817,435,1079,0
2024-01-10,1792,466,938,0
2024-01-11,1869,436,1106,0
2024-01-12,1767,436,902,0
2024-01-13,1740,457,992,0
2024-01-14,1808,392,1029,0
2024-01-15,1846,398,1014,0
2024-01-16,1790,433,968,0
2024-01-17,1866,419,989,0
2024-01-18,1801,459,975,0
2024-01-19,1700,422,970,0
2024-01-20,1666,407,1042,0
2024-01-21,1658,493,1017,0
2024-01-22,1793,443,965,0
2024-01-23,1840,452,1044,0
2024-01-24,1892,407,1015,0
2024-01-25,1845,433,1040,0
2024-01-26,1825,453,1031,0
2024-01-27,1736,415,958,0
2024-01-28,1611,461,971,0
2024-01-29,1838,431,1037,0
2024-01-30,1868,441,1030,0
2024-01-31,1741,431,998,0
2024-02-01,1911,505,1005,0
2024-02-02,1860,449,1063,0
2024-02-03,1679,418,970,0
2024-02-04,1777,474,1027,0
2024-02-05,1917,413,989,0
2024-02-06,1833,456,989,0
2024-02-07,1824,391,1054,0
2024-02-08,1794,410,1041,0
2024-02-09,1797,455,1040,0
2024-02-10,1797,472,1065,0
2024-02-11,1685,455,1001,0
2024-02-12,1837,446,1034,0
2024-02-13,1791,440,984,0
2024-02-14,1831,405,1016,0
2024-02-15,1828,428,993,0
2024-02-16,1871,436,1004,0
2024-02-17,1724,481,1029,0
2024-02-18,1704,460,959,0
2024-02-19,1781,397,1104,0
2024-02-20,1792,459,949,0
2024-02-21,1819,438,939,0
2024-02-22,1870,429,1057,0
2024-02-23,1799,468,1039,0
2024-02-24,1793,480,1031,0
2024-02-25,1816,477,1031,0
2024-02-26,1832,424,999,0
2024-02-27,1900,440,955,0
2024-02-28,1792,459,1003,0
2024-02-29,1767,479,966,0
2024-03-01,1743,435,1048,0
2024-03-02,1794,444,992,0
2024-03-03,1728,416,958,0
2024-03-04,1799,414,983,0
2024-03-05,1857,474,1020,0
2024-03-06,1780,490,971,0
2024-03-07,1933,447,958,0
2024-03-08,1850,480,1012,0
2024-03-09,1739,460,1012,0
2024-03-10,1744,430,974,0
2024-03-11,1847,460,976,0
2024-03-12,1862,496,1011,0
2024-03-13,1763,448,927,0
2024-03-14,1850,496,929,0
2024-03-15,1869,371,964,0
2024-03-16,1801,474,989,0
2024-03-17,1810,452,1015,0
2024-03-18,1817,441,1073,0
2024-03-19,1789,452,1042,0
2024-03-20,1786,390,992,0
2024-03-21,1824,443,999,0
2024-03-22,1870,460,949,0
2024-03-23,1662,494,999,0
2024-03-24,1789,434,985,0
2024-03-25,1809,425,1016,0
2024-03-26,1783,434,958,0
2024-03-27,1795,477,1025,0
2024-03-28,1770,459,1076,0
2024-03-29,1856,434,994,0
2024-03-30,1742,465,1020,0
2024-03-31,1672,452,1034,0
2024-04-01,1768,479,979,0
2024-04-02,1801,428,1011,0
2024-04-03,1903,440,1000,0
2024-04-04,1807,438,1004,0
2024-04-05,1716,406,961,0
2024-04-06,1717,458,1001,0
2024-04-07,1722,457,1024,0
2024-04-08,1711,450,1072,0
2024-04-09,1833,442,1047,0
2024-04-10,1824,407,1107,0
2024-04-11,1841,437,961,0
2024-04-12,1925,439,1043,0
2024-04-13,1772,425,1009,0
2024-04-14,1741,445,1109,0
2024-04-15,1763,462,959,0
2024-04-16,1969,506,958,0
2024-04-17,1821,455,970,0
2024-04-18,1797,457,893,0
2024-04-19,1814,447,973,0
2024-04-20,1694,392,962,0
2024-04-21,1719,449,1007,0
2024-04-22,1802,451,1017,0
2024-04-23,1862,523,1093,0
2024-04-24,1834,444,1047,0
2024-04-25,1793,459,971,0
2024-04-26,1775,448,955,0
2024-04-27,1720,414,1024,0
2024-04-28,1709,484,933,0
2024-04-29,1938,472,1091,0
2024-04-30,1722,473,1058,0
2024-05-01,1858,422,976,0
2024-05-02,1882,492,914,0
2024-05-03,1720,407,1067,0
2024-05-04,1714,467,994,0
2024-05-05,1757,515,1061,0
2024-05-06,1715,420,920,0
2024-05-07,1768,433,970,0
2024-05-08,1771,452,1000,0
2024-05-09,1905,434,1002,0
2024-05-10,1841,403,977,0
2024-05-11,1798,452,1031,0
2024-05-12,1729,418,946,0
2024-05-13,1773,464,992,0
2024-05-14,1786,422,1006,0
2024-05-15,1880,496,1025,0
2024-05-16,1762,426,1035,0
2024-05-17,1838,440,943,0
2024-05-18,1702,474,923,0
2024-05-19,1706,413,1063,0
2024-05-20,1868,456,1016,0
2024-05-21,1855,489,962,0
2024-05-22,1806,401,1077,0
2024-05-23,1887,455,1005,0
2024-05-24,1792,457,1058,0
2024-05-25,1768,473,1003,0
2024-05-26,1767,412,1103,0
2024-05-27,1816,410,1087,0
2024-05-28,1845,465,987,0
2024-05-29,1781,458,1048,0
2024-05-30,1884,457,1032,0
2024-05-31,1841,460,1068,0
2024-06-01,1674,429,951,0
2024-06-02,1791,456,1034,0
2024-06-03,1810,458,1052,0
2024-06-04,1717,428,912,0
2024-06-05,1757,505,940,0
2024-06-06,1831,464,898,0
2024-06-07,1739,414,986,0
2024-06-08,1833,469,1035,0
2024-06-09,1628,420,1075,0
2024-06-10,1922,473,1003,0
2024-06-11,1877,484,1081,0
2024-06-12,1787,425,930,0
2024-06-13,1786,478,914,0
2024-06-14,1850,462,997,0
2024-06-15,1741,474,1019,0
2024-06-16,1808,506,998,0
2024-06-17,1796,442,896,0
2024-06-18,1819,427,995,0
2024-06-19,1773,423,934,0
2024-06-20,1819,425,1033,0
2024-06-21,1844,447,1018,0
2024-06-22,1630,460,953,0
2024-06-23,1654,458,974,0
2024-06-24,1858,474,947,0
2024-06-25,1832,450,996,0
2024-06-26,1851,493,1047,0
2024-06-27,1807,442,950,0
2024-06-28,1890,531,1025,0
2024-06-29,1699,468,973,0
2024-06-30,1666,424,960,200
2024-07-01,1822,417,994,200
2024-07-02,1772,464,948,200
2024-07-03,1838,443,972,200
2024-07-04,1737,471,940,200
2024-07-05,1918,464,1098,200
2024-07-06,1753,447,1001,200
2024-07-07,1719,424,965,200
2024-07-08,1859,404,1010,200
2024-07-09,1904,436,994,200
2024-07-10,1890,475,988,200
2024-07-11,1750,456,1030,200
2024-07-12,1758,412,1037,200
2024-07-13,1693,455,973,200
2024-07-14,1732,461,971,400
2024-07-15,1842,423,986,400
2024-07-16,1765,454,884,400
2024-07-17,1821,451,924,400
2024-07-18,1799,415,1068,400
2024-07-19,1833,460,1082,400
2024-07-20,1668,466,987,400
2024-07-21,1712,482,1028,400
2024-07-22,1787,481,1015,400
2024-07-23,1810,408,1153,400
2024-07-24,1889,421,1055,400
2024-07-25,1792,465,993,400
2024-07-26,1959,465,952,400
2024-07-27,1742,465,919,400
2024-07-28,1804,565,1010,400
2024-07-29,1788,467,962,400
2024-07-30,1864,484,928,400
2024-07-31,1813,478,967,600
2024-08-01,1837,469,945,600
2024-08-02,1986,440,1084,600
2024-08-03,1757,472,1044,600
2024-08-04,1783,426,999,600
2024-08-05,1820,442,1073,600
2024-08-06,1829,435,1003,600
2024-08-07,1914,452,956,600
2024-08-08,1863,519,1076,600
2024-08-09,1908,393,1026,600
2024-08-10,1767,470,948,600
2024-08-11,1682,401,990,600
2024-08-12,1848,435,956,600
2024-08-13,1881,482,930,600
2024-08-14,1883,451,1046,600
2024-08-15,1773,417,1095,800
2024-08-16,1771,428,930,800
2024-08-17,1746,470,1028,800
2024-08-18,1715,428,967,800
2024-08-19,1866,456,975,800
2024-08-20,1840,451,970,800
2024-08-21,1750,430,956,800
2024-08-22,1891,514,1002,800
2024-08-23,1867,469,958,800
2024-08-24,1741,389,1013,800
2024-08-25,1796,455,997,800
2024-08-26,1868,430,988,800
2024-08-27,1862,475,954,800
2024-08-28,1815,426,971,800
2024-08-29,1766,446,1037,800
2024-08-30,1876,465,1025,800
2024-08-31,1748,475,951,800
2024-09-01,1737,413,1004,800
2024-09-02,1782,439,1037,800
2024-09-03,1753,435,916,800
2024-09-04,1891,430,1027,800
2024-09-05,1854,502,966,800
2024-09-06,1888,462,1028,800
2024-09-07,1711,412,961,800
2024-09-08,1728,477,909,800
2024-09-09,1894,513,918,800
2024-09-10,1830,480,1002,800
2024-09-11,1825,404,1012,800
2024-09-12,1796,435,954,800
2024-09-13,1846,488,1031,800
2024-09-14,1689,428,916,800
2024-09-15,1756,463,996,800
2024-09-16,1809,473,939,800
2024-09-17,1879,422,967,800
2024-09-18,1795,448,1002,800
2024-09-19,1769,352,956,800
2024-09-20,1796,419,980,800
2024-09-21,1823,442,1050,800
2024-09-22,1722,412,971,800
2024-09-23,1928,498,1041,800
2024-09-24,1727,407,943,800
2024-09-25,1854,436,1026,800
2024-09-26,1908,453,1072,800
2024-09-27,1828,493,876,800
2024-09-28,1759,406,960,800
2024-09-29,1740,484,1028,800
2024-09-30,1907,450,989,800
